-100 -1000.000000
-99 -970.299000
-98 -941.192000
-97 -912.673000
-96 -884.736000
-95 -857.375000
-94 -830.584000
-93 -804.357000
-92 -778.688000
-91 -753.571000
-90 -729.000000
-89 -704.969000
-88 -681.472000
-87 -658.503000
-86 -636.056000
-85 -614.125000
-84 -592.704000
-83 -571.787000
-82 -551.368000
-81 -531.441000
-80 -512.000000
-79 -493.039000
-78 -474.552000
-77 -456.533000
-76 -438.976000
-75 -421.875000
-74 -405.224000
-73 -389.017000
-72 -373.248000
-71 -357.911000
-70 -343.000000
-69 -328.509000
-68 -314.432000
-67 -300.763000
-66 -287.496000
-65 -274.625000
-64 -262.144000
-63 -250.047000
-62 -238.328000
-61 -226.981000
-60 -216.000000
-59 -205.379000
-58 -195.112000
-57 -185.193000
-56 -175.616000
-55 -166.375000
-54 -157.464000
-53 -148.877000
-52 -140.608000
-51 -132.651000
-50 -125.000000
-49 -117.649000
-48 -110.592000
-47 -103.823000
-46 -97.336000
-45 -91.125000
-44 -85.184000
-43 -79.507000
-42 -74.088000
-41 -68.921000
-40 -64.000000
-39 -59.319000
-38 -54.872000
-37 -50.653000
-36 -46.656000
-35 -42.875000
-34 -39.304000
-33 -35.937000
-32 -32.768000
-31 -29.791000
-30 -27.000000
-29 -24.389000
-28 -21.952000
-27 -19.683000
-26 -17.576000
-25 -15.625000
-24 -13.824000
-23 -12.167000
-22 -10.648000
-21 -9.261000
-20 -8.000000
-19 -6.859000
-18 -5.832000
-17 -4.913000
-16 -4.096000
-15 -3.375000
-14 -2.744000
-13 -2.197000
-12 -1.728000
-11 -1.331000
-10 -1.000000
-9 -0.729000
-8 -0.512000
-7 -0.343000
-6 -0.216000
-5 -0.125000
-4 -0.064000
-3 -0.027000
-2 -0.008000
-1 -0.001000
0 0.000000
1 0.001000
2 0.008000
3 0.027000
4 0.064000
5 0.125000
6 0.216000
7 0.343000
8 0.512000
9 0.729000
10 1.000000
11 1.331000
12 1.728000
13 2.197000
14 2.744000
15 3.375000
16 4.096000
17 4.913000
18 5.832000
19 6.859000
20 8.000000
21 9.261000
22 10.648000
23 12.167000
24 13.824000
25 15.625000
26 17.576000
27 19.683000
28 21.952000
29 24.389000
30 27.000000
31 29.791000
32 32.768000
33 35.937000
34 39.304000
35 42.875000
36 46.656000
37 50.653000
38 54.872000
39 59.319000
40 64.000000
41 68.921000
42 74.088000
43 79.507000
44 85.184000
45 91.125000
46 97.336000
47 103.823000
48 110.592000
49 117.649000
50 125.000000
51 132.651000
52 140.608000
53 148.877000
54 157.464000
55 166.375000
56 175.616000
57 185.193000
58 195.112000
59 205.379000
60 216.000000
61 226.981000
62 238.328000
63 250.047000
64 262.144000
65 274.625000
66 287.496000
67 300.763000
68 314.432000
69 328.509000
70 343.000000
71 357.911000
72 373.248000
73 389.017000
74 405.224000
75 421.875000
76 438.976000
77 456.533000
78 474.552000
79 493.039000
80 512.000000
81 531.441000
82 551.368000
83 571.787000
84 592.704000
85 614.125000
86 636.056000
87 658.503000
88 681.472000
89 704.969000
90 729.000000
91 753.571000
92 778.688000
93 804.357000
94 830.584000
95 857.375000
96 884.736000
97 912.673000
98 941.192000
99 970.299000
100 1000.000000
